source_model,target_model,source_training,target_training,attack,epsilon,seed,evaluated_samples,jointly_clean_correct_samples,robust_accuracy,attack_success_rate,conditional_transfer_success_rate,runtime_seconds,device
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.15,42,10000,9688,0.9827,0.017299999999999982,0.0050578034682080926,13.20460489996185,cpu
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.15,42,10000,9801,0.9623,0.037699999999999956,0.02030405060708091,13.526204600035271,cpu
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.15,42,10000,9873,0.9502,0.049799999999999955,0.04081839359870353,25.174984900040727,cpu
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.15,42,10000,9688,0.6418,0.35819999999999996,0.3416597853014038,13.536990100044932,cpu
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.15,42,10000,9920,0.9741,0.025900000000000034,0.018044354838709677,25.41946460003237,cpu
lenet_standard,lenet_standard,standard,standard,FGSM,0.2,42,10000,9824,0.0778,0.9222,0.9208061889250815,2.2079713999919477,cpu
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.2,42,10000,9797,0.7894,0.2106,0.19924466673471472,13.41719970000122,cpu
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.2,42,10000,9638,0.6947,0.3053,0.2850176385142146,2.216087000000698,cpu
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.2,42,10000,9801,0.9676,0.032399999999999984,0.019079685746352413,13.523614099998667,cpu
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.2,42,10000,9797,0.8856,0.11439999999999995,0.09727467592120037,13.380996999971103,cpu
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.2,42,10000,9924,0.3502,0.6497999999999999,0.647118097541314,25.271857600004296,cpu
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.2,42,10000,9690,0.6022,0.39780000000000004,0.38214654282765737,13.390443500014953,cpu
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.2,42,10000,9873,0.9742,0.025800000000000045,0.015496809480401094,25.22441230002005,cpu
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.2,42,10000,9638,0.6995,0.3005,0.2773396970325794,2.1995880999893416,cpu
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.2,42,10000,9690,0.7159,0.2841,0.2720330237358101,13.285356499975023,cpu
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.2,42,10000,9725,0.941,0.05900000000000005,0.04205655526992288,2.207554299980984,cpu
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.2,42,10000,9688,0.9737,0.02629999999999999,0.01166391412056152,13.42863679999573,cpu
smallcnn_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.2,42,10000,9801,0.9458,0.054200000000000026,0.037241097847158455,13.33217249999143,cpu
smallcnn_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.2,42,10000,9873,0.8523,0.14770000000000005,0.1388635673047706,24.896460399992066,cpu
smallcnn_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.2,42,10000,9688,0.6672,0.3328,0.3153385631709331,13.34771269999328,cpu
smallcnn_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.2,42,10000,9920,0.9712,0.028800000000000048,0.020967741935483872,24.9748070999849,cpu
lenet_standard,lenet_standard,standard,standard,FGSM,0.25,42,10000,9824,0.0214,0.9786,0.9782166123778502,2.162105599985807,cpu
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.25,42,10000,9797,0.6295,0.37050000000000005,0.36143717464529956,13.269875099991623,cpu
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.25,42,10000,9638,0.6739,0.32609999999999995,0.30628761153766343,2.201078600002802,cpu
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.25,42,10000,9801,0.6812,0.3188,0.30802979287827775,13.579661200026749,cpu
smallcnn_standard,lenet_standard,standard,standard,FGSM,0.25,42,10000,9797,0.8111,0.18889999999999996,0.17321629070123506,13.15617679998104,cpu
smallcnn_standard,smallcnn_standard,standard,standard,FGSM,0.25,42,10000,9924,0.2285,0.7715,0.7697501007658203,24.82847950002906,cpu
smallcnn_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.25,42,10000,9690,0.569,0.43100000000000005,0.41589267285861714,13.191741199974786,cpu
smallcnn_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.25,42,10000,9873,0.7617,0.23829999999999996,0.22890712042945408,24.9465865999955,cpu
lenet_fgsm_at,lenet_standard,fgsm_at,standard,FGSM,0.25,42,10000,9638,0.4956,0.5044,0.4868229923220585,2.3314416999710375,cpu
lenet_fgsm_at,smallcnn_standard,fgsm_at,standard,FGSM,0.25,42,10000,9690,0.4916,0.5084,0.5,13.468473000008089,cpu
lenet_fgsm_at,lenet_fgsm_at,fgsm_at,fgsm_at,FGSM,0.25,42,10000,9725,0.9201,0.07989999999999997,0.06673521850899743,2.292590899967763,cpu
lenet_fgsm_at,smallcnn_fgsm_at,fgsm_at,fgsm_at,FGSM,0.25,42,10000,9688,0.5898,0.4102,0.39781172584640795,13.53614109998307,cpu
