source_model,target_model,source_training,target_training,attack,epsilon,robust_accuracy_mean,robust_accuracy_std,attack_success_rate_mean,attack_success_rate_std,conditional_transfer_success_rate_mean,conditional_transfer_success_rate_std
lenet_standard,lenet_fgsm_at,standard,fgsm_at,FGSM,0.3,0.5116999999999999,0.15853236262668896,0.4883,0.15853236262668896,0.47345501429587983,0.16287746732819283
lenet_standard,lenet_standard,standard,standard,FGSM,0.0,0.9834666666666667,0.000945163125250444,0.016533333333333265,0.000945163125250483,0.0,0.0
lenet_standard,lenet_standard,standard,standard,FGSM,0.05,0.8771999999999999,0.0031606961258558055,0.1228,0.0031606961258558116,0.1080506929035515,0.004019886361348058
lenet_standard,lenet_standard,standard,standard,FGSM,0.1,0.5780666666666666,0.030167753203268845,0.42193333333333327,0.03016775320326882,0.4122176909113426,0.030590158275120526
lenet_standard,lenet_standard,standard,standard,FGSM,0.15,0.2537333333333333,0.044444384722182095,0.7462666666666666,0.04444438472218207,0.7419990848691933,0.04518607986384727
lenet_standard,lenet_standard,standard,standard,FGSM,0.2,0.08779999999999999,0.020517309765171455,0.9122,0.0205173097651714,0.9107268703451775,0.020837988328365416
lenet_standard,lenet_standard,standard,standard,FGSM,0.25,0.0281,0.011174524598388965,0.9719000000000001,0.011174524598389,0.9714299667572278,0.01135176693636411
lenet_standard,lenet_standard,standard,standard,FGSM,0.3,0.0083,0.004253234063627348,0.9916999999999999,0.004253234063627357,0.9915607310271565,0.00432234002518868
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.0,0.9919333333333333,0.0003055050463303557,0.008066666666666633,0.00030550504633033526,0.0,0.0
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.05,0.9894666666666666,0.001305118130030176,0.010533333333333268,0.0013051181300301792,0.0012921214785262334,0.0004819001515751236
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.1,0.9850333333333333,0.0019035055380359099,0.014966666666666665,0.0019035055380358973,0.0043184198649241995,0.0012830122088007179
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.15,0.9735999999999999,0.006366317616958824,0.026399999999999965,0.006366317616958778,0.0139752652761826,0.0058597444074805155
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.2,0.8881666666666667,0.06934553578517755,0.1118333333333333,0.06934553578517756,0.09846957008208623,0.06926590117139665
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.25,0.5366000000000001,0.1353655421442252,0.4634,0.13536554214422516,0.45455594499057916,0.13730947667670895
lenet_standard,smallcnn_fgsm_at,standard,fgsm_at,FGSM,0.3,0.26356666666666667,0.08600478668849389,0.7364333333333333,0.08600478668849391,0.7323086781355466,0.08732001296033709
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.0,0.9925333333333333,0.0010066445913694529,0.007466666666666601,0.0010066445913694405,0.0,0.0
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.05,0.9873666666666666,0.000450924975282328,0.012633333333333267,0.0004509249752823409,0.004010559712356966,0.0006748404460911875
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.1,0.9743666666666666,0.0028746014216467363,0.0256333333333333,0.0028746014216466643,0.0149560128131788,0.0032608992982713597
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.15,0.9377666666666666,0.02418622197312621,0.06223333333333327,0.02418622197312617,0.05045419893704143,0.024704666390759553
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.2,0.8479000000000001,0.05095478387747316,0.15209999999999993,0.05095478387747324,0.13997600492531345,0.05158891740761686
lenet_standard,smallcnn_standard,standard,standard,FGSM,0.25,0.6780333333333334,0.042546131825741,0.3219666666666667,0.042546131825741,0.3116982745312619,0.04355781322856953
